shipment_id,customer_id,origin_port,destination_port,departure_date,arrival_date,shipment_status,cargo_type,weight_tons,volume_cbm,revenue,cost
SHP000034,CUST002176,Rotterdam Port,Rotterdam Port,2022-03-31,2024-10-28,Delivered,Vehicles,135.09,223.17,173076.82,138842.2
SHP000035,CUST002115,Rotterdam Port,Rotterdam Port,2024-09-07,2024-08-12,In Transit,Electronics,142.34,25.62,147391.38,3999.98
SHP000036,CUST001217,Shanghai Port,Dubai Port,2022-08-12,2022-10-02,Delivered,Electronics,5.52,390.81,59766.39,104970.24
SHP000037,CUST002862,Rotterdam Port,Hamburg Port,2022-09-04,2023-02-28,Delivered,Textiles,98.87,70.51,58986.0,14027.85
SHP000038,CUST000269,Hamburg Port,Dubai Port,2022-01-25,2022-11-13,Delayed,Food,42.98,73.98,52859.11,14018.66
SHP000039,CUST001101,Singapore Port,Durban Port,2022-04-11,2022-08-19,In Transit,Electronics,108.65,389.93,58503.31,6317.44
SHP000040,CUST001107,Singapore Port,Hamburg Port,2023-08-21,2023-05-28,Delayed,Textiles,7.77,20.8,170265.98,141463.89
SHP000041,CUST002579,Los Angeles Port,Lagos Port,2024-11-09,2022-07-29,Delivered,Food,90.0,266.16,162364.66,37705.34
SHP000042,CUST001260,Rotterdam Port,Los Angeles Port,2022-07-07,2024-03-15,Delivered,Oil,119.38,338.25,111922.37,3259.63
SHP000043,CUST001067,Durban Port,Dubai Port,2023-09-06,2022-10-07,Delayed,Electronics,130.5,179.11,147271.44,126426.85
SHP000044,CUST000316,Durban Port,Singapore Port,2022-10-26,2024-09-03,Delayed,Electronics,22.29,105.64,115688.43,136348.85
SHP000045,CUST002615,Dubai Port,Shanghai Port,2024-05-17,2023-03-02,Delivered,Vehicles,186.79,356.83,165716.06,40195.04
SHP000046,CUST000534,Los Angeles Port,Los Angeles Port,2022-06-29,2023-02-20,Delayed,Vehicles,12.04,35.87,57981.6,42851.0
SHP000047,CUST001252,Rotterdam Port,Los Angeles Port,2024-08-01,2022-03-18,In Transit,Electronics,176.22,496.28,103822.7,48315.36
SHP000048,CUST001906,Durban Port,Singapore Port,2024-04-03,2022-06-11,In Transit,Oil,93.73,224.63,58118.37,10014.81
SHP000049,CUST002852,Singapore Port,Shanghai Port,2023-01-16,2023-06-03,Delayed,Textiles,104.92,51.13,35548.5,23499.36
SHP000050,CUST002777,Dubai Port,Shanghai Port,2023-10-30,2023-05-01,In Transit,Oil,23.14,29.56,76992.93,130302.95
SHP000051,CUST000042,Dubai Port,Los Angeles Port,2022-06-05,2022-10-17,In Transit,Vehicles,139.02,346.29,161177.78,90501.97
SHP000052,CUST000634,Los Angeles Port,Lagos Port,2023-08-16,2024-01-03,Delayed,Electronics,173.8,410.07,18129.44,127876.43
SHP000053,CUST002824,Lagos Port,Singapore Port,2024-12-05,2022-06-08,In Transit,Oil,84.16,476.39,134157.15,43849.14
SHP000054,CUST001191,Singapore Port,Shanghai Port,2022-04-23,2022-09-11,Delayed,Vehicles,35.37,197.4,140620.16,84075.01
SHP000055,CUST001237,Rotterdam Port,Lagos Port,2022-11-16,2023-08-23,Delivered,Textiles,133.04,372.56,151303.77,142656.21
SHP000056,CUST000504,Durban Port,Shanghai Port,2023-08-24,2022-07-28,Delivered,Food,60.42,21.28,149995.19,106034.0
SHP000057,CUST001972,Dubai Port,Rotterdam Port,2023-06-27,2022-03-06,Delayed,Electronics,84.7,477.14,164105.34,45790.97
SHP000058,CUST002742,Lagos Port,Dubai Port,2024-05-17,2024-03-20,In Transit,Food,98.53,410.05,77703.28,38884.4
SHP000059,CUST001092,Lagos Port,Dubai Port,2022-06-11,2023-09-06,Delivered,Electronics,130.42,193.98,151584.59,117954.03
SHP000060,CUST000579,Durban Port,Shanghai Port,2023-09-10,2024-09-16,Delayed,Oil,5.13,222.26,177622.5,69415.93
SHP000061,CUST001617,Singapore Port,Singapore Port,2024-08-31,2022-09-22,Delivered,Electronics,5.49,67.03,132279.47,4519.28
SHP000062,CUST000760,Dubai Port,Durban Port,2022-07-14,2024-02-23,In Transit,Textiles,78.31,382.95,124280.61,132535.84
SHP000063,CUST001873,Lagos Port,Shanghai Port,2023-12-21,2023-03-28,Delivered,Oil,119.09,277.31,159134.33,31796.52
SHP000064,CUST000276,Dubai Port,Singapore Port,2023-01-18,2023-02-12,In Transit,Oil,96.34,381.13,8733.76,73105.85
SHP000065,CUST000501,Durban Port,Shanghai Port,2022-09-26,2022-04-01,Delivered,Food,159.84,333.51,23243.32,18856.56
SHP000066,CUST000402,Rotterdam Port,Dubai Port,2024-10-27,2023-04-28,Delivered,Food,92.28,246.07,130458.81,101699.66
SHP000067,CUST000484,Singapore Port,Rotterdam Port,2022-12-21,2023-06-09,In Transit,Oil,169.77,108.08,73150.45,120682.32
SHP000068,CUST000018,Singapore Port,Los Angeles Port,2023-03-09,2022-01-17,In Transit,Electronics,152.67,243.92,144311.81,137482.26
SHP000069,CUST002886,Singapore Port,Durban Port,2024-06-07,2022-09-29,Delayed,Food,112.99,18.14,8024.81,97653.21
SHP000070,CUST000268,Los Angeles Port,Rotterdam Port,2024-04-06,2022-06-04,In Transit,Oil,33.04,118.46,79668.1,127022.12
SHP000071,CUST001320,Rotterdam Port,Los Angeles Port,2024-06-23,2023-02-06,Delivered,Oil,58.61,451.55,83007.51,81406.6
SHP000072,CUST000601,Durban Port,Lagos Port,2024-10-21,2024-01-27,In Transit,Vehicles,79.3,101.71,149859.48,136844.87
SHP000073,CUST002067,Lagos Port,Shanghai Port,2024-05-19,2024-12-21,In Transit,Food,126.93,29.31,56466.07,130784.33
SHP000074,CUST001073,Los Angeles Port,Hamburg Port,2023-08-29,2023-02-21,Delivered,Food,101.84,27.25,61506.11,20213.64
SHP000075,CUST001219,Los Angeles Port,Hamburg Port,2023-05-05,2023-12-25,Delayed,Food,89.32,12.91,123913.42,37488.6
SHP000076,CUST001930,Dubai Port,Durban Port,2022-11-06,2023-03-08,In Transit,Electronics,140.83,244.28,33028.87,142297.52
SHP000077,CUST001260,Rotterdam Port,Durban Port,2024-07-04,2024-03-01,In Transit,Electronics,86.07,481.96,194168.53,107297.27
SHP000078,CUST000080,Dubai Port,Los Angeles Port,2022-06-05,2022-04-28,Delivered,Textiles,48.49,20.36,47616.44,37381.11
SHP000079,CUST002368,Lagos Port,Lagos Port,2023-02-14,2024-11-06,Delayed,Vehicles,186.68,309.86,12164.93,40581.35
SHP000080,CUST000068,Hamburg Port,Shanghai Port,2022-01-05,2023-09-06,Delayed,Oil,71.68,30.98,138617.19,79426.01
SHP000081,CUST000696,Rotterdam Port,Los Angeles Port,2024-09-29,2023-02-17,In Transit,Electronics,160.59,261.57,191288.6,32911.48
SHP000082,CUST000873,Durban Port,Lagos Port,2024-11-07,2023-08-29,In Transit,Oil,141.41,11.31,188953.25,56466.93
SHP000083,CUST000195,Shanghai Port,Rotterdam Port,2024-05-25,2022-04-25,In Transit,Oil,47.18,133.25,90859.6,113718.34
SHP000084,CUST002244,Los Angeles Port,Los Angeles Port,2024-04-28,2024-06-24,In Transit,Oil,80.78,471.39,161369.46,142521.2
SHP000085,CUST001953,Shanghai Port,Los Angeles Port,2024-05-12,2023-10-17,Delayed,Electronics,102.41,256.96,53634.87,120921.22
SHP000086,CUST000753,Rotterdam Port,Hamburg Port,2022-06-09,2022-06-26,In Transit,Textiles,151.69,12.72,173547.42,120137.09
SHP000087,CUST002102,Dubai Port,Rotterdam Port,2023-07-06,2023-03-28,Delivered,Electronics,83.74,128.27,86096.95,14814.51
SHP000088,CUST002101,Los Angeles Port,Singapore Port,2023-07-04,2024-08-22,Delivered,Textiles,63.59,447.53,71279.24,11225.39
SHP000089,CUST000692,Hamburg Port,Singapore Port,2022-08-12,2022-12-22,Delayed,Food,190.87,102.34,104899.34,113968.26
SHP000090,CUST001693,Los Angeles Port,Dubai Port,2024-04-29,2022-03-19,Delivered,Oil,146.8,364.37,41328.27,51268.43
SHP000091,CUST000865,Rotterdam Port,Dubai Port,2023-11-23,2023-11-09,Delayed,Oil,176.83,255.45,178872.38,108750.65
SHP000092,CUST001094,Durban Port,Hamburg Port,2022-03-04,2024-01-15,In Transit,Textiles,36.72,106.94,117845.12,25139.58
SHP000093,CUST000425,Lagos Port,Durban Port,2022-04-30,2023-11-22,In Transit,Oil,79.38,276.69,114860.79,47991.34
SHP000094,CUST002527,Durban Port,Dubai Port,2022-12-25,2023-02-23,Delayed,Electronics,100.75,369.65,40247.85,100266.45
SHP000095,CUST001907,Hamburg Port,Rotterdam Port,2024-03-15,2023-06-17,Delayed,Food,27.94,276.68,198688.05,64544.44
SHP000096,CUST000751,Lagos Port,Singapore Port,2023-11-27,2022-07-16,Delayed,Textiles,57.07,403.08,181993.84,17882.6
SHP000097,CUST001545,Hamburg Port,Shanghai Port,2024-12-17,2022-11-28,Delivered,Textiles,91.56,388.84,117475.75,44531.21
SHP000098,CUST000004,Dubai Port,Los Angeles Port,2023-08-24,2023-09-03,Delivered,Oil,125.85,33.44,84773.64,129474.39
SHP000099,CUST001159,Los Angeles Port,Hamburg Port,2023-04-01,2023-11-08,Delivered,Vehicles,34.14,246.82,55653.98,80785.99
SHP000100,CUST000788,Lagos Port,Lagos Port,2022-03-08,2023-12-13,Delayed,Vehicles,55.94,57.0,20319.17,63878.35
SHP000101,CUST002519,Hamburg Port,Los Angeles Port,2024-04-24,2024-11-15,In Transit,Oil,24.58,473.27,53260.7,130183.05
SHP000102,CUST001709,Shanghai Port,Dubai Port,2023-11-15,2022-08-03,In Transit,Electronics,66.37,424.87,181721.54,34705.03
SHP000103,CUST001653,Shanghai Port,Shanghai Port,2023-12-13,2023-01-17,In Transit,Oil,117.19,450.93,169116.73,12198.97
SHP000104,CUST002320,Hamburg Port,Los Angeles Port,2022-01-14,2023-04-28,In Transit,Vehicles,88.84,63.52,130117.9,59981.83
SHP000105,CUST000314,Dubai Port,Lagos Port,2023-01-19,2022-09-19,Delivered,Food,104.54,153.71,75891.71,38667.28
SHP000106,CUST000334,Lagos Port,Singapore Port,2024-06-21,2022-04-24,Delivered,Vehicles,189.27,212.67,16976.64,71543.66
SHP000107,CUST000687,Los Angeles Port,Shanghai Port,2023-09-06,2024-09-22,Delayed,Vehicles,55.24,412.78,136095.3,4266.84
SHP000108,CUST000559,Durban Port,Hamburg Port,2023-01-03,2022-02-24,Delivered,Textiles,95.96,299.44,108419.88,61206.67
SHP000109,CUST002244,Rotterdam Port,Hamburg Port,2022-12-22,2022-04-24,Delivered,Food,118.62,427.74,107304.74,142435.14
SHP000110,CUST002942,Shanghai Port,Los Angeles Port,2024-10-20,2024-12-12,Delayed,Oil,52.63,105.88,12428.61,84906.22
SHP000111,CUST001801,Singapore Port,Dubai Port,2022-09-12,2022-01-21,Delivered,Electronics,129.65,384.67,176326.32,135658.38
SHP000112,CUST000594,Hamburg Port,Hamburg Port,2024-06-13,2024-12-21,Delivered,Food,146.19,440.68,179796.33,58696.03
SHP000113,CUST000764,Hamburg Port,Lagos Port,2024-12-15,2023-04-08,In Transit,Vehicles,62.47,106.74,178118.07,93818.46
SHP000114,CUST000073,Durban Port,Los Angeles Port,2024-11-10,2024-05-09,In Transit,Food,170.87,300.58,130484.96,90824.51
SHP000115,CUST002029,Dubai Port,Singapore Port,2022-04-14,2022-03-11,Delivered,Electronics,149.86,64.49,14637.48,21378.34
SHP000116,CUST002904,Dubai Port,Los Angeles Port,2023-11-27,2022-12-08,Delivered,Food,186.67,322.76,11748.78,128698.91
SHP000117,CUST001863,Dubai Port,Singapore Port,2022-02-13,2022-11-27,Delivered,Oil,67.64,121.68,45788.58,77726.41
SHP000118,CUST001184,Singapore Port,Lagos Port,2024-09-05,2022-12-17,Delayed,Textiles,20.25,217.14,99929.28,131203.66
SHP000119,CUST001431,Rotterdam Port,Singapore Port,2022-07-30,2023-08-11,Delayed,Vehicles,114.22,371.43,167281.07,129820.3
SHP000120,CUST002167,Shanghai Port,Rotterdam Port,2024-01-23,2024-04-08,Delivered,Vehicles,150.35,212.17,27673.82,139937.44
SHP000121,CUST002365,Singapore Port,Dubai Port,2023-04-14,2024-04-18,Delayed,Electronics,138.46,441.54,109580.09,122806.91
SHP000122,CUST000941,Los Angeles Port,Los Angeles Port,2024-01-08,2022-02-10,Delivered,Food,79.09,189.29,96706.78,121254.08
SHP000123,CUST002839,Durban Port,Rotterdam Port,2022-08-12,2022-01-29,In Transit,Oil,155.98,441.68,52839.14,114932.49
SHP000124,CUST001488,Hamburg Port,Rotterdam Port,2022-09-05,2022-12-31,In Transit,Vehicles,100.57,162.37,147204.89,3900.92
SHP000125,CUST002017,Lagos Port,Durban Port,2024-03-24,2024-03-05,In Transit,Vehicles,117.19,393.1,23972.34,77025.42
SHP000126,CUST001141,Los Angeles Port,Hamburg Port,2022-02-13,2022-02-17,Delivered,Vehicles,144.16,426.87,30920.62,9656.04
SHP000127,CUST000440,Rotterdam Port,Rotterdam Port,2022-04-11,2024-12-13,In Transit,Food,69.64,458.08,35956.71,23742.37
SHP000128,CUST000640,Rotterdam Port,Hamburg Port,2022-04-15,2022-02-10,Delivered,Vehicles,74.21,240.95,46841.1,114306.67
SHP000129,CUST002984,Dubai Port,Singapore Port,2023-03-01,2023-11-04,Delayed,Electronics,94.18,88.84,7230.41,13408.16
SHP000130,CUST002769,Shanghai Port,Hamburg Port,2022-07-14,2022-09-13,In Transit,Vehicles,5.79,444.52,49904.96,73517.75
SHP000131,CUST000369,Shanghai Port,Dubai Port,2024-07-04,2022-11-25,In Transit,Vehicles,45.77,226.4,39540.26,97573.93
SHP000132,CUST001996,Singapore Port,Singapore Port,2024-08-11,2024-02-10,Delayed,Textiles,88.71,117.42,190762.05,14963.57
SHP000133,CUST001233,Dubai Port,Rotterdam Port,2022-06-24,2023-10-06,In Transit,Electronics,171.94,378.62,115896.19,147139.81
SHP000134,CUST002138,Lagos Port,Singapore Port,2024-05-06,2024-10-17,In Transit,Textiles,110.9,379.38,167443.83,28566.46
SHP000135,CUST000998,Los Angeles Port,Los Angeles Port,2024-07-16,2024-04-29,In Transit,Textiles,58.59,448.15,135363.95,126862.71
SHP000136,CUST001755,Durban Port,Dubai Port,2022-06-20,2024-09-05,Delayed,Vehicles,8.19,301.43,149658.03,49479.73
SHP000137,CUST000293,Los Angeles Port,Hamburg Port,2023-07-30,2022-10-23,In Transit,Food,143.54,193.43,44687.31,121046.58
SHP000138,CUST000667,Rotterdam Port,Singapore Port,2023-12-29,2022-06-10,Delayed,Food,91.29,483.49,162289.93,86364.98
SHP000139,CUST000375,Hamburg Port,Rotterdam Port,2022-07-14,2022-06-17,In Transit,Vehicles,184.88,137.08,15294.04,120155.88
SHP000140,CUST002173,Lagos Port,Shanghai Port,2022-02-21,2023-03-08,Delayed,Electronics,79.03,219.64,51985.02,127916.63
SHP000141,CUST001033,Dubai Port,Singapore Port,2023-07-21,2023-01-12,In Transit,Electronics,155.03,141.62,29047.34,44553.97
SHP000142,CUST000485,Dubai Port,Dubai Port,2022-09-12,2024-04-07,Delivered,Vehicles,93.72,126.31,183179.99,13642.77
SHP000143,CUST001614,Singapore Port,Rotterdam Port,2023-02-27,2022-06-06,Delivered,Oil,96.22,346.7,67943.27,106642.22
SHP000144,CUST001392,Dubai Port,Durban Port,2023-02-10,2022-03-22,In Transit,Textiles,41.61,479.45,143409.14,49784.12
SHP000145,CUST002664,Dubai Port,Lagos Port,2023-07-08,2023-10-14,In Transit,Oil,49.42,464.56,149762.71,14723.72
SHP000146,CUST002057,Los Angeles Port,Hamburg Port,2023-07-21,2024-03-31,Delayed,Oil,118.78,306.38,136377.5,13501.92
SHP000147,CUST000966,Singapore Port,Durban Port,2023-01-25,2023-04-07,Delayed,Electronics,135.68,53.53,136290.92,72372.65
SHP000148,CUST002820,Dubai Port,Durban Port,2024-05-29,2024-01-02,In Transit,Textiles,187.37,138.04,188471.91,40498.38
SHP000149,CUST000216,Shanghai Port,Lagos Port,2022-09-30,2022-07-25,Delayed,Vehicles,102.39,29.82,197405.42,119244.51
SHP000150,CUST002585,Los Angeles Port,Hamburg Port,2022-03-03,2024-10-29,In Transit,Textiles,156.29,469.53,120184.44,132677.18
SHP000151,CUST000078,Los Angeles Port,Dubai Port,2022-02-02,2022-04-11,In Transit,Vehicles,137.63,385.17,79746.83,42922.52
SHP000152,CUST000960,Durban Port,Durban Port,2023-01-13,2023-06-30,Delivered,Food,63.45,80.15,85993.41,30201.88
SHP000153,CUST000835,Dubai Port,Hamburg Port,2022-01-12,2023-03-10,In Transit,Food,79.71,358.4,179391.82,123440.15
SHP000154,CUST001619,Shanghai Port,Shanghai Port,2023-07-30,2022-02-23,Delayed,Textiles,84.92,484.99,89469.45,10816.03
SHP000155,CUST001981,Lagos Port,Rotterdam Port,2024-04-09,2024-02-12,In Transit,Vehicles,21.68,61.75,93374.12,26063.57
SHP000156,CUST001294,Los Angeles Port,Lagos Port,2022-02-02,2023-12-16,In Transit,Electronics,49.01,270.69,177448.09,68126.15
SHP000157,CUST001645,Shanghai Port,Hamburg Port,2023-10-05,2023-10-06,Delayed,Textiles,17.77,318.9,37126.05,92193.72
SHP000158,CUST001922,Lagos Port,Lagos Port,2023-11-24,2024-03-25,In Transit,Electronics,155.15,126.11,180566.36,7171.58
SHP000159,CUST000519,Rotterdam Port,Hamburg Port,2024-10-23,2022-02-06,Delivered,Oil,97.9,348.69,126661.1,5356.27
SHP000160,CUST000245,Los Angeles Port,Singapore Port,2022-12-31,2024-05-08,Delivered,Textiles,120.23,305.8,160947.32,22644.61
SHP000161,CUST001239,Los Angeles Port,Los Angeles Port,2022-07-15,2024-06-19,Delayed,Oil,177.23,26.42,52681.19,23499.09
SHP000162,CUST002179,Durban Port,Shanghai Port,2024-10-22,2023-11-19,Delivered,Vehicles,101.45,387.87,184380.93,23044.19
SHP000163,CUST000449,Singapore Port,Lagos Port,2024-03-01,2024-04-20,Delivered,Textiles,131.18,66.15,38316.14,80329.32
SHP000164,CUST002421,Hamburg Port,Durban Port,2022-07-04,2024-06-30,In Transit,Vehicles,148.08,475.35,32889.7,111852.69
SHP000165,CUST001529,Hamburg Port,Los Angeles Port,2022-07-27,2022-04-11,Delayed,Electronics,176.28,378.9,33546.45,147423.06
SHP000166,CUST000855,Shanghai Port,Singapore Port,2023-09-09,2022-09-22,Delivered,Vehicles,23.22,154.72,176736.88,6096.37
SHP000167,CUST000784,Hamburg Port,Lagos Port,2022-03-11,2022-02-07,In Transit,Food,64.7,115.88,184326.3,30536.72
SHP000168,CUST001427,Lagos Port,Lagos Port,2023-06-11,2022-01-20,Delivered,Electronics,86.89,411.14,28209.91,70818.2
SHP000169,CUST002518,Shanghai Port,Lagos Port,2024-11-20,2024-09-17,Delivered,Oil,127.1,217.99,66166.84,68902.76
SHP000170,CUST001206,Rotterdam Port,Lagos Port,2022-03-17,2023-10-20,Delivered,Electronics,63.13,216.19,33563.62,102975.62
SHP000171,CUST001624,Los Angeles Port,Shanghai Port,2024-08-04,2022-02-24,In Transit,Textiles,108.75,289.14,160961.66,123259.61
SHP000172,CUST000045,Lagos Port,Los Angeles Port,2024-11-26,2023-08-26,In Transit,Oil,161.6,275.82,151515.88,86773.48
SHP000173,CUST001587,Hamburg Port,Los Angeles Port,2024-08-22,2022-07-06,Delayed,Oil,165.14,25.68,142659.17,112727.86
SHP000174,CUST002600,Rotterdam Port,Durban Port,2022-02-05,2022-01-31,Delayed,Oil,70.71,472.52,116634.57,57400.06
SHP000175,CUST001429,Shanghai Port,Hamburg Port,2023-10-31,2024-10-18,In Transit,Textiles,73.64,390.17,34143.96,121332.5
SHP000176,CUST002202,Rotterdam Port,Durban Port,2023-04-17,2022-11-23,In Transit,Textiles,71.72,20.35,36442.53,136601.09
SHP000177,CUST001785,Singapore Port,Dubai Port,2023-01-04,2024-05-18,Delivered,Vehicles,31.59,415.03,92526.32,47478.99
SHP000178,CUST002305,Rotterdam Port,Shanghai Port,2022-04-21,2022-07-10,Delivered,Textiles,160.06,458.79,24112.58,32180.73
SHP000179,CUST001209,Durban Port,Rotterdam Port,2022-01-22,2024-02-23,In Transit,Electronics,51.56,345.36,192900.94,81150.17
SHP000180,CUST002644,Rotterdam Port,Lagos Port,2022-07-12,2023-06-10,Delivered,Food,16.37,347.77,18216.84,44915.1
SHP000181,CUST001490,Singapore Port,Shanghai Port,2024-10-27,2024-02-25,Delayed,Vehicles,55.86,207.41,103125.88,89948.69
SHP000182,CUST002332,Shanghai Port,Durban Port,2024-02-23,2024-06-21,In Transit,Electronics,126.3,273.24,25900.73,58689.94
SHP000183,CUST001754,Hamburg Port,Durban Port,2023-06-25,2022-09-14,Delivered,Textiles,180.35,190.31,154564.85,50386.09
SHP000184,CUST002113,Rotterdam Port,Hamburg Port,2023-01-04,2023-03-31,Delivered,Oil,111.26,235.72,25791.12,78401.71
SHP000185,CUST002618,Lagos Port,Hamburg Port,2023-01-04,2024-04-20,In Transit,Vehicles,157.28,266.91,92131.55,32989.41
SHP000186,CUST000595,Durban Port,Los Angeles Port,2022-09-04,2023-06-04,Delivered,Food,52.29,89.08,49372.59,142544.35
SHP000187,CUST002682,Lagos Port,Shanghai Port,2022-06-19,2023-02-15,Delivered,Electronics,46.63,23.24,23787.89,31303.98
SHP000188,CUST002373,Singapore Port,Los Angeles Port,2023-03-25,2024-02-07,In Transit,Oil,112.8,197.5,185311.14,19524.54
SHP000189,CUST001842,Los Angeles Port,Lagos Port,2023-12-14,2023-07-17,Delivered,Electronics,33.85,388.55,111321.41,85939.17
SHP000190,CUST001035,Lagos Port,Lagos Port,2023-03-31,2022-10-26,Delayed,Vehicles,105.97,140.92,148466.69,74190.08
SHP000191,CUST001959,Los Angeles Port,Singapore Port,2022-04-04,2024-05-06,Delivered,Vehicles,6.51,57.98,161915.16,63467.66
SHP000192,CUST001387,Durban Port,Hamburg Port,2022-03-12,2023-11-10,In Transit,Textiles,42.8,327.4,57201.88,33863.37
SHP000193,CUST000623,Hamburg Port,Shanghai Port,2023-08-29,2024-04-12,In Transit,Vehicles,193.0,433.12,16684.29,143286.86
SHP000194,CUST002352,Los Angeles Port,Los Angeles Port,2023-09-26,2023-11-17,In Transit,Textiles,15.31,388.74,61330.27,131709.93
SHP000195,CUST002734,Los Angeles Port,Singapore Port,2023-12-04,2023-04-28,Delivered,Textiles,83.15,118.32,126273.18,112130.9
SHP000196,CUST000306,Hamburg Port,Singapore Port,2023-11-05,2023-09-04,In Transit,Textiles,149.07,108.31,171118.52,57669.44
SHP000197,CUST001701,Rotterdam Port,Hamburg Port,2023-07-02,2024-05-13,In Transit,Food,138.43,42.52,91903.79,123256.18
SHP000198,CUST002070,Durban Port,Hamburg Port,2024-01-03,2024-05-21,In Transit,Textiles,133.05,82.7,168185.99,95710.55
SHP000199,CUST000557,Durban Port,Hamburg Port,2022-05-26,2024-01-22,Delayed,Textiles,166.07,256.53,182690.8,119017.76
SHP000200,CUST000199,Shanghai Port,Singapore Port,2022-08-20,2024-04-16,Delayed,Textiles,86.64,467.48,131069.28,22320.63
